pipeline_depth,parallel_units,intermediate_buffer_kb,tile_npw,tile_nkb,tile_m,dma_channels,pcie_gen,offload_strategy,dataflow_pattern,psi_strategy,beta_strategy,h_psi_impl,gemm_impl,overlap_policy,trial_index,avg_time_s,avg_energy_j,max_time_s,max_energy_j,std_time_s,std_energy_j,avg_dsp_utilization,avg_bram_utilization
2,8,128,2048,144,4,4,3,include_diag,hybrid,stream,cache,mixed,dsp_array,compute_dma,39,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.007529411764705883
2,8,64,2048,32,8,1,4,full_operator_sweep,hybrid,tile,stream,mixed,systolic,full_pipeline,40,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.009411764705882352
2,4,128,2048,64,32,2,5,include_diag,buffered,tile,cache,fft_dsp,winograd,none,41,4.5713212193080355e-05,0.0022399473974609374,0.00010541695731026785,0.005165430908203125,3.226727551527536e-05,0.001581096500248493,0.035807291666666664,0.03388235294117647
3,4,128,512,32,16,4,5,h_psi_only,streaming,stream,cache,mixed,winograd,none,42,5.378196380825057e-05,0.002742880154220779,0.00013870738636363638,0.007074076704545455,4.4416536532059486e-05,0.002265243363135034,0.037434895833333336,0.007529411764705883
2,8,128,1024,32,8,1,4,full_operator_sweep,hybrid,tile,stream,mixed,systolic,full_pipeline,43,2.454519686612216e-05,0.0016936185837624288,5.933266379616477e-05,0.004093953801935369,1.8505402880892032e-05,0.00127687279878155,0.068359375,0.007529411764705883
3,8,128,2048,32,8,1,4,full_operator_sweep,hybrid,tile,stream,mixed,systolic,full_pipeline,44,2.0534277134859627e-05,0.0014579336765750332,4.735307173295454e-05,0.0033620680930397727,1.4494391140551499e-05,0.0010291017709791565,0.06998697916666667,0.011294117647058824
2,8,512,2048,32,4,2,3,h_psi_only,hybrid,resident,stream,fft_bram,systolic,none,45,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.018823529411764704
2,8,1024,2048,64,4,2,3,h_psi_only,hybrid,resident,stream,fft_bram,systolic,none,46,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.03388235294117647
3,8,1024,2048,32,4,2,3,h_psi_only,hybrid,resident,stream,fft_bram,systolic,none,47,2.0534277134859627e-05,0.0014579336765750332,4.735307173295454e-05,0.0033620680930397727,1.4494391140551499e-05,0.0010291017709791565,0.06998697916666667,0.03388235294117647
4,8,256,2048,64,4,4,3,include_diag,hybrid,stream,cache,mixed,dsp_array,compute_dma,48,1.9393483960700757e-05,0.0014157243291311554,4.472234552556818e-05,0.003264731223366477,1.368914718829864e-05,0.0009993077447458007,0.07161458333333333,0.011294117647058824
3,8,256,1024,64,4,4,3,include_diag,hybrid,stream,cache,mixed,dsp_array,compute_dma,49,2.3101361756350266e-05,0.001640196684700869,5.584250710227272e-05,0.003964818004261363,1.7416849770251325e-05,0.001236596333687844,0.06998697916666667,0.009411764705882352
